feature,feature_name,factor_group,coefficient,target,score_col,neutralization
turnover_5_20,短期换手放大,流动性与拥挤,0.1301241621686064,next_5d_return,barra_ridge_next_5d_return,industry+style
ma20_ma60,均线斜率20/60,价格位置,0.06861353724258987,next_5d_return,barra_ridge_next_5d_return,industry+style
ma5_ma20,均线斜率5/20,价格位置,0.05595360446643961,next_5d_return,barra_ridge_next_5d_return,industry+style
range_position_20,20日价格区间位置,价格位置,0.04860100157747974,next_5d_return,barra_ridge_next_5d_return,industry+style
neg_log_total_mv,小市值暴露,规模与风险补偿,0.039883479283590456,next_5d_return,barra_ridge_next_5d_return,industry+style
growth_sales_yoy,收入成长,现金流与成长,0.0352776642665674,next_5d_return,barra_ridge_next_5d_return,industry+style
neg_atr_14_pct,低ATR波动,波动与防御,0.02922238114610571,next_5d_return,barra_ridge_next_5d_return,industry+style
neg_turnover_20d_avg,低换手,流动性与拥挤,0.028919969608121245,next_5d_return,barra_ridge_next_5d_return,industry+style
low_leverage,低杠杆,资本结构,0.0256051553652112,next_5d_return,barra_ridge_next_5d_return,industry+style
bp,估值-BP,估值与质量,0.01678824178345164,next_5d_return,barra_ridge_next_5d_return,industry+style
quality_roe,ROE质量,估值与质量,0.014694696733930661,next_5d_return,barra_ridge_next_5d_return,industry+style
rsi_14,RSI14,价格位置,0.012023930167937664,next_5d_return,barra_ridge_next_5d_return,industry+style
cashflow_ocfps,经营现金流,现金流与成长,0.010664032535093994,next_5d_return,barra_ridge_next_5d_return,industry+style
dividend_yield,股息率,估值与质量,0.009353677023790618,next_5d_return,barra_ridge_next_5d_return,industry+style
reversal_20,20日反转,反转与趋势,0.009189253974944649,next_5d_return,barra_ridge_next_5d_return,industry+style
reversal_5,短期反转,反转与趋势,0.006315401627197611,next_5d_return,barra_ridge_next_5d_return,industry+style
ep_ttm,估值-EP(TTM),估值与质量,0.005082532971798554,next_5d_return,barra_ridge_next_5d_return,industry+style
neg_volatility_60,60日低波动,波动与防御,-0.003480439269652185,next_5d_return,barra_ridge_next_5d_return,industry+style
momentum_120_20,中长期动量剔除近端,反转与趋势,-0.005951522317975542,next_5d_return,barra_ridge_next_5d_return,industry+style
relative_ret_20,相对沪深300强度20日,相对强弱,-0.009189253974543182,next_5d_return,barra_ridge_next_5d_return,industry+style
momentum_20,20日动量,反转与趋势,-0.00918925397511458,next_5d_return,barra_ridge_next_5d_return,industry+style
relative_ret_60,相对沪深300强度60日,相对强弱,-0.011421789663757273,next_5d_return,barra_ridge_next_5d_return,industry+style
momentum_60,中期动量,反转与趋势,-0.011421789663904506,next_5d_return,barra_ridge_next_5d_return,industry+style
