factor,factor_name,weight,mean_ic,ic_ir,positive_ratio
bp,估值-BP,0.1802254508473518,0.09712206294675985,0.6459550232872595,0.7359307359307359
neg_atr_14_pct,低ATR波动,0.15482617400024537,0.10051983844465615,0.4652928114246937,0.7192982456140351
neg_volatility_20,低波动,0.14023936019295183,0.09294327582046012,0.45115677837063944,0.7168141592920354
neg_log_total_mv,小市值暴露,0.13584378356047777,0.08653400278055703,0.3566082862454209,0.7424242424242424
neg_volatility_60,60日低波动,0.10567585629918946,0.08649214918455592,0.3790954962576523,0.6832579185520362
neg_turnover_20d_avg,低换手,0.08484751011127185,0.07640830549032154,0.3711231704352318,0.6666666666666666
reversal_20,20日反转,0.07376767941205495,0.0674910964456723,0.41607022975669217,0.6583710407239819
dividend_yield,股息率,0.05815070368567649,0.048589253992492004,0.442378056454141,0.670995670995671
reversal_5,短期反转,0.03906030198858918,0.04567608210907809,0.3101309187992921,0.6323851203501094
ep_ttm,估值-EP(TTM),0.027363179902191306,0.04045278222437035,0.2955132290628578,0.6038961038961039
