,估值-BP,估值-EP(TTM),股息率,小市值暴露,ROE质量,ROA质量,经营现金流,收入成长,利润成长,低杠杆,1日反转,短期反转,20日反转,20日动量,中期动量,120日动量,中长期动量剔除近端,相对沪深300强度20日,相对沪深300强度60日,低波动,60日低波动,低换手,短期换手放大,短期成交额放大,20日乖离率,60日乖离率,均线斜率5/20,均线斜率20/60,20日价格区间位置,20日突破强度,布林带位置,RSI14,低ATR波动,低冲击成本
估值-BP,1.0,0.35732950494164595,0.31936961540279296,0.01596312710892219,0.027864438083389877,0.0037237645143898147,0.00786943690252295,-0.04203202038579155,-0.024477984242164644,-0.019038241328402688,0.007098615708115525,0.03852788171152354,0.08596782408847263,-0.08596782408847263,-0.15302124300550704,-0.2640482184463847,-0.23252118389113624,-0.08596782408847263,-0.15302124300550704,0.44278187622814086,0.49777347672330674,0.401042053316056,-0.01296159914968619,-0.025062035833450975,-0.06558045969665602,-0.11566381471176801,-0.0666200911057472,-0.10894045711787018,-0.042922129400490186,0.15146472536172206,-0.05850745928749771,-0.06070639756333625,0.48019772749770423,-0.05736915114637282
估值-EP(TTM),0.35732950494164595,1.0,0.5373342237265268,-0.16564587873820397,0.01375812344889627,0.007017730066976627,0.019061482289971683,-0.014402193722978018,-0.006644767770105357,-0.025528572677775873,0.006903885744172409,0.02147950152323503,0.04692673586280313,-0.04692673586280313,-0.09191783367854062,-0.16637436513805542,-0.14707373725315803,-0.04692673586280313,-0.09191783367854062,0.3012772191625978,0.34746220919101084,0.33665715169643373,0.011189406707190399,0.0036856530022342255,-0.03461126399136747,-0.06481609727463723,-0.03632762059916153,-0.06394604022408565,-0.03371989342076924,0.10894196522087009,-0.03967650238395795,-0.03895208577700438,0.32504818552726517,0.10569026814237285
股息率,0.31936961540279296,0.5373342237265268,1.0,-0.0655293469742802,0.020880948864663584,0.007135494762386973,0.011360006405089424,-0.02079670364130911,0.0014704462442744286,-0.003451955801947606,0.005621246620511059,0.02765819932476207,0.055741788673194556,-0.055741788673194556,-0.09750077400985707,-0.1691585274292313,-0.14840019301003982,-0.055741788673194556,-0.09750077400985707,0.31087783836681826,0.35011971248127144,0.3287758888190387,0.001747435204168971,-0.007286894255915736,-0.0423916222864822,-0.072801349849282,-0.043683922071773726,-0.07111855409476628,-0.03885131664289094,0.10757767371356876,-0.046698740468595186,-0.044958208145818856,0.33139233270307866,-0.0013877156909334236
小市值暴露,0.01596312710892219,-0.16564587873820397,-0.0655293469742802,1.0,-0.03766203716666956,-0.02677233918569529,-0.004212577353006148,0.037830946171196894,0.007095875169059415,0.030383285218557606,0.0031734942619590727,0.017395731228277464,0.05088254893199665,-0.05088254893199665,-0.05707975939862228,-0.03425256079553901,-0.01780978722283568,-0.05088254893199665,-0.05707975939862228,-0.061357213888480755,-0.10750545216917258,-0.2575950236679586,-0.05490176083956109,-0.06056197642564605,-0.03925731170337634,-0.06820238971923122,-0.037090212016270815,-0.0631952411538451,-0.004887633602988889,-0.05390710671495242,-0.011640067582650786,-0.013475026999376733,-0.09537700971545979,-0.8185885980099689
ROE质量,0.027864438083389877,0.01375812344889627,0.020880948864663584,-0.03766203716666956,1.0,0.7139319554095452,0.11438557740847953,-0.36296244410874984,0.01470913147309065,0.199444624978721,0.0018149434508341745,-0.0009982747211938487,-0.0011423944464680155,0.0011423944464680155,-0.0031261126948412404,-0.006720165237307878,-0.005121008422878774,0.0011423944464680155,-0.0031261126948412404,0.02399692670447335,0.029795659572356175,0.024048311189883983,0.0038484596089051874,0.0035828544865985916,0.0024637198328132355,0.0015236434928109417,0.0023106123232976322,0.0012995719006604258,0.0022333539327647747,0.012848679477732904,0.000942783849165074,0.001193110972649243,0.02781607423809952,0.02605167439793646
ROA质量,0.0037237645143898147,0.007017730066976627,0.007135494762386973,-0.02677233918569529,0.7139319554095452,1.0,0.21043905094695117,-0.20989943748677128,-0.0017357514098591438,0.23744622713875632,0.0002421259665174815,9.734255414027971e-05,-0.006075097785203715,0.006075097785203715,0.004008889949806945,0.004743618038654485,0.005063630740444368,0.006075097785203715,0.004008889949806945,0.0074708317472634254,0.011974895211527144,0.0063319608996024335,0.0014955084557099537,0.0018310953699921606,0.004789111193991435,0.00863234928064073,0.005504508678434092,0.008461923065679904,0.002181895639329989,0.006263844941925544,0.0016946570288078814,0.0030392968270204915,0.011496302663031184,0.020357150741135747
经营现金流,0.00786943690252295,0.019061482289971683,0.011360006405089424,-0.004212577353006148,0.11438557740847953,0.21043905094695117,1.0,-0.014491880406473511,-0.026103430227082034,-0.046989307781350104,-0.0015785514122743309,-0.004477244513679255,0.0014323589742848974,-0.0014323589742848974,0.005714546826997009,0.011462139898806522,0.012546703437280426,-0.0014323589742848974,0.005714546826997009,-0.0004389996340067032,-0.0032619416875339746,-0.005681405647924992,0.002522990123345417,0.002147778422380087,0.0017680510823406507,0.0027382346553008947,0.0005623455213702125,0.0027051402553887557,0.004896690349556648,0.0030522920049818984,0.005344218829728139,0.003493413066274621,-0.0004139942507134128,0.012975844375033437
收入成长,-0.04203202038579155,-0.014402193722978018,-0.02079670364130911,0.037830946171196894,-0.36296244410874984,-0.20989943748677128,-0.014491880406473511,1.0,0.1613629672208409,-0.018354522792884742,-0.0016149255879388084,-0.007381199805679703,-0.009517803433050049,0.009517803433050049,0.01617854370667705,0.021472063940103564,0.017599285146187124,0.009517803433050049,0.01617854370667705,-0.028394669575709745,-0.03540297594578685,-0.030646935502949207,-0.0032968966920091138,-0.0020027427342659736,0.007382092864788064,0.014297686149238736,0.006538418012367933,0.014398852389802165,0.007944582230138903,-0.00839554880853705,0.009057043497004915,0.010518414340078957,-0.0359566543454836,-0.02764372476402367
利润成长,-0.024477984242164644,-0.006644767770105357,0.0014704462442744286,0.007095875169059415,0.01470913147309065,-0.0017357514098591438,-0.026103430227082034,0.1613629672208409,1.0,-0.05557115630450465,-0.0016896915187931915,7.307970438297325e-05,-0.00524412066412801,0.00524412066412801,0.0032834519685144433,0.007932819862804053,0.0058272697455030754,0.00524412066412801,0.0032834519685144433,-0.0008990955763748502,-0.006192560429597308,-0.004529471799477192,0.00077844189912475,0.0010230477027702715,0.004025684081330796,0.006123478254121339,0.004603336719481969,0.004681075473681281,0.0011900970487900176,-0.003188429098720291,0.001050057013021394,0.00010136169383752005,-0.005034794072449863,-0.010529906608938934
低杠杆,-0.019038241328402688,-0.025528572677775873,-0.003451955801947606,0.030383285218557606,0.199444624978721,0.23744622713875632,-0.046989307781350104,-0.018354522792884742,-0.05557115630450465,1.0,0.00035811903144655543,0.0012490598193637432,-0.008073572984789107,0.008073572984789107,0.005033609333044201,0.0038624826096644175,0.0015598207586865964,0.008073572984789107,0.005033609333044201,-0.005119306134095104,-0.0011743193551979813,-0.0089839544834071,-0.0032223207223966103,-0.00253603037106464,0.004529172520269255,0.008716954017727763,0.004423613287728866,0.009254830515535955,0.0024081450763590753,-0.0005546508527292254,0.002940240910879115,0.0025941495344492167,-0.004418820419504686,-0.03366631190514621
1日反转,0.007098615708115525,0.006903885744172409,0.005621246620511059,0.0031734942619590727,0.0018149434508341745,0.0002421259665174815,-0.0015785514122743309,-0.0016149255879388084,-0.0016896915187931915,0.00035811903144655543,1.0,0.36791091183939445,0.1561967124050036,-0.1561967124050036,-0.07715844827036505,-0.05008055517914167,0.008566076112851827,-0.1561967124050036,-0.07715844827036505,-0.02883918354537276,-0.02680645431012331,-0.03143651070140293,-0.03438950237954037,-0.036466626521941936,-0.2996539537727241,-0.15609931458814852,-0.029770690014330657,0.024944861266396744,-0.334726665790517,-0.3511460305084774,-0.348354498050235,-0.20606815394155595,-0.029316650322633222,0.021372221174775843
短期反转,0.03852788171152354,0.02147950152323503,0.02765819932476207,0.017395731228277464,-0.0009982747211938487,9.734255414027971e-05,-0.004477244513679255,-0.007381199805679703,7.307970438297325e-05,0.0012490598193637432,0.36791091183939445,1.0,0.4077593399003168,-0.4077593399003168,-0.2130099122466159,-0.1505073065529901,0.004641076849632607,-0.4077593399003168,-0.2130099122466159,0.02915998920934908,-0.003467827249118995,-0.0006745869468408759,-0.3862467560033494,-0.41381868303764513,-0.6893714404238426,-0.39824528382984026,-0.44130001482544007,-0.015582755236024617,-0.6409540672726411,-0.5939012958116089,-0.7003001432568284,-0.5104349539893301,0.03963411458763941,0.033178916613161746
20日反转,0.08596782408847263,0.04692673586280313,0.055741788673194556,0.05088254893199665,-0.0011423944464680155,-0.006075097785203715,0.0014323589742848974,-0.009517803433050049,-0.00524412066412801,-0.008073572984789107,0.1561967124050036,0.4077593399003168,1.0,-1.0,-0.46496635575906486,-0.3315533324005084,0.02077786940707994,-1.0,-0.46496635575906486,0.27772514048779184,0.08928098194193118,0.1923556213766341,-0.34959519702386554,-0.42088075773131006,-0.795406596736573,-0.7679043733042985,-0.8049970862233016,-0.4352623337887015,-0.7058150969333592,-0.5187636022108127,-0.6886690027527544,-0.7186466034180862,0.33559904872865703,-0.01725733134129463
20日动量,-0.08596782408847263,-0.04692673586280313,-0.055741788673194556,-0.05088254893199665,0.0011423944464680155,0.006075097785203715,-0.0014323589742848974,0.009517803433050049,0.00524412066412801,0.008073572984789107,-0.1561967124050036,-0.4077593399003168,-1.0,1.0,0.46496635575906486,0.3315533324005084,-0.02077786940707994,1.0,0.46496635575906486,-0.27772514048779184,-0.08928098194193118,-0.1923556213766341,0.34959519702386554,0.42088075773131006,0.795406596736573,0.7679043733042985,0.8049970862233016,0.4352623337887015,0.7058150969333592,0.5187636022108127,0.6886690027527544,0.7186466034180862,-0.33559904872865703,0.01725733134129463
中期动量,-0.15302124300550704,-0.09191783367854062,-0.09750077400985707,-0.05707975939862228,-0.0031261126948412404,0.004008889949806945,0.005714546826997009,0.01617854370667705,0.0032834519685144433,0.005033609333044201,-0.07715844827036505,-0.2130099122466159,-0.46496635575906486,0.46496635575906486,1.0,0.6128208407281229,0.44338480152369164,0.46496635575906486,1.0,-0.46746691872644364,-0.4043057258338025,-0.3698087201187877,0.0728130853551575,0.11477418654174254,0.38137130794639834,0.7870389444895252,0.38496072593802216,0.7898649885141618,0.3283381125458597,0.09201698449421745,0.3456043778574272,0.3662459339063666,-0.5102269865778881,0.10215747536706803
120日动量,-0.2640482184463847,-0.16637436513805542,-0.1691585274292313,-0.03425256079553901,-0.006720165237307878,0.004743618038654485,0.011462139898806522,0.021472063940103564,0.007932819862804053,0.0038624826096644175,-0.05008055517914167,-0.1505073065529901,-0.3315533324005084,0.3315533324005084,0.6128208407281229,1.0,0.901068493087415,0.3315533324005084,0.6128208407281229,-0.5345435040199584,-0.5739210337510877,-0.43059343919281123,0.034978276274799394,0.06712990444891294,0.26661724487504157,0.5124460339594858,0.2702653916871418,0.5006528643037392,0.22237206887261235,-0.03344173810009512,0.24189949241941971,0.256075022370421,-0.5818106646330827,0.09345287565854689
中长期动量剔除近端,-0.23252118389113624,-0.14707373725315803,-0.14840019301003982,-0.01780978722283568,-0.005121008422878774,0.005063630740444368,0.012546703437280426,0.017599285146187124,0.0058272697455030754,0.0015598207586865964,0.008566076112851827,0.004641076849632607,0.02077786940707994,-0.02077786940707994,0.44338480152369164,0.901068493087415,1.0,-0.02077786940707994,0.44338480152369164,-0.4318478138727812,-0.5489819278915636,-0.35542579706748223,-0.1092774088239346,-0.10018247135392268,-0.022914413134641032,0.2340228890659694,-0.021883745036641228,0.3476174111520976,-0.03579593757664295,-0.2211427694805228,-0.012057984875059083,-0.013883650956620974,-0.45651513969165697,0.0902180234691542
相对沪深300强度20日,-0.08596782408847263,-0.04692673586280313,-0.055741788673194556,-0.05088254893199665,0.0011423944464680155,0.006075097785203715,-0.0014323589742848974,0.009517803433050049,0.00524412066412801,0.008073572984789107,-0.1561967124050036,-0.4077593399003168,-1.0,1.0,0.46496635575906486,0.3315533324005084,-0.02077786940707994,1.0,0.46496635575906486,-0.27772514048779184,-0.08928098194193118,-0.1923556213766341,0.34959519702386554,0.42088075773131006,0.795406596736573,0.7679043733042985,0.8049970862233016,0.4352623337887015,0.7058150969333592,0.5187636022108127,0.6886690027527544,0.7186466034180862,-0.33559904872865703,0.01725733134129463
相对沪深300强度60日,-0.15302124300550704,-0.09191783367854062,-0.09750077400985707,-0.05707975939862228,-0.0031261126948412404,0.004008889949806945,0.005714546826997009,0.01617854370667705,0.0032834519685144433,0.005033609333044201,-0.07715844827036505,-0.2130099122466159,-0.46496635575906486,0.46496635575906486,1.0,0.6128208407281229,0.44338480152369164,0.46496635575906486,1.0,-0.46746691872644364,-0.4043057258338025,-0.3698087201187877,0.0728130853551575,0.11477418654174254,0.38137130794639834,0.7870389444895252,0.38496072593802216,0.7898649885141618,0.3283381125458597,0.09201698449421745,0.3456043778574272,0.3662459339063666,-0.5102269865778881,0.10215747536706803
低波动,0.44278187622814086,0.3012772191625978,0.31087783836681826,-0.061357213888480755,0.02399692670447335,0.0074708317472634254,-0.0004389996340067032,-0.028394669575709745,-0.0008990955763748502,-0.005119306134095104,-0.02883918354537276,0.02915998920934908,0.27772514048779184,-0.27772514048779184,-0.46746691872644364,-0.5345435040199584,-0.4318478138727812,-0.27772514048779184,-0.46746691872644364,1.0,0.8034964786631301,0.7084722184601384,0.03594234993328357,0.014029139144578361,-0.13213396365358784,-0.40038857497015995,-0.166813352503666,-0.45077709419827167,-0.06620067452773871,0.35990759179291115,-0.1162432047612229,-0.1393962277048747,0.9088932830760967,-0.02714386134333135
60日低波动,0.49777347672330674,0.34746220919101084,0.35011971248127144,-0.10750545216917258,0.029795659572356175,0.011974895211527144,-0.0032619416875339746,-0.03540297594578685,-0.006192560429597308,-0.0011743193551979813,-0.02680645431012331,-0.003467827249118995,0.08928098194193118,-0.08928098194193118,-0.4043057258338025,-0.5739210337510877,-0.5489819278915636,-0.08928098194193118,-0.4043057258338025,0.8034964786631301,1.0,0.6891217357150178,0.09226179770473138,0.07840645029944315,-0.024247064784383588,-0.21034450359350618,-0.0414329941695742,-0.2721547767623431,0.015518226109938544,0.3691679533090116,-0.02745679688288767,-0.030318923145358227,0.7916032056689466,-0.026888536949939246
低换手,0.401042053316056,0.33665715169643373,0.3287758888190387,-0.2575950236679586,0.024048311189883983,0.0063319608996024335,-0.005681405647924992,-0.030646935502949207,-0.004529471799477192,-0.0089839544834071,-0.03143651070140293,-0.0006745869468408759,0.1923556213766341,-0.1923556213766341,-0.3698087201187877,-0.43059343919281123,-0.35542579706748223,-0.1923556213766341,-0.3698087201187877,0.7084722184601384,0.6891217357150178,1.0,0.09267815958409195,0.0720727601824994,-0.07483325575157523,-0.3030842987500106,-0.10943132612172905,-0.3674634659845382,-0.0391059138118856,0.2853179209009687,-0.07451180101947617,-0.09184350618476744,0.7080211966568675,-0.06817324305877115
短期换手放大,-0.01296159914968619,0.011189406707190399,0.001747435204168971,-0.05490176083956109,0.0038484596089051874,0.0014955084557099537,0.002522990123345417,-0.0032968966920091138,0.00077844189912475,-0.0032223207223966103,-0.03438950237954037,-0.3862467560033494,-0.34959519702386554,0.34959519702386554,0.0728130853551575,0.034978276274799394,-0.1092774088239346,0.34959519702386554,0.0728130853551575,0.03594234993328357,0.09226179770473138,0.09267815958409195,1.0,0.9887487047429567,0.5311182734697928,0.24223465903408387,0.5452382617081071,-0.08353343626558898,0.47515651476994497,0.44628803636842357,0.5032095482250704,0.5024304831324407,-0.06009240301846743,-0.033798156421552566
短期成交额放大,-0.025062035833450975,0.0036856530022342255,-0.007286894255915736,-0.06056197642564605,0.0035828544865985916,0.0018310953699921606,0.002147778422380087,-0.0020027427342659736,0.0010230477027702715,-0.00253603037106464,-0.036466626521941936,-0.41381868303764513,-0.42088075773131006,0.42088075773131006,0.11477418654174254,0.06712990444891294,-0.10018247135392268,0.42088075773131006,0.11477418654174254,0.014029139144578361,0.07840645029944315,0.0720727601824994,0.9887487047429567,1.0,0.6008086340389343,0.30488336937027255,0.6249065888709318,-0.04561124689570619,0.5331542281095928,0.49144000113621666,0.55794233664209,0.5677869701358955,-0.08505115042791175,-0.030809661982534476
20日乖离率,-0.06558045969665602,-0.03461126399136747,-0.0423916222864822,-0.03925731170337634,0.0024637198328132355,0.004789111193991435,0.0017680510823406507,0.007382092864788064,0.004025684081330796,0.004529172520269255,-0.2996539537727241,-0.6893714404238426,-0.795406596736573,0.795406596736573,0.38137130794639834,0.26661724487504157,-0.022914413134641032,0.795406596736573,0.38137130794639834,-0.13213396365358784,-0.024247064784383588,-0.07483325575157523,0.5311182734697928,0.6008086340389343,1.0,0.6845119840246306,0.8880569715632762,0.1999758973721165,0.8710456784107621,0.7307258099742447,0.8948514508979328,0.8632437266796206,-0.19344445073735353,-0.021745214851239546
60日乖离率,-0.11566381471176801,-0.06481609727463723,-0.072801349849282,-0.06820238971923122,0.0015236434928109417,0.00863234928064073,0.0027382346553008947,0.014297686149238736,0.006123478254121339,0.008716954017727763,-0.15609931458814852,-0.39824528382984026,-0.7679043733042985,0.7679043733042985,0.7870389444895252,0.5124460339594858,0.2340228890659694,0.7679043733042985,0.7870389444895252,-0.40038857497015995,-0.21034450359350618,-0.3030842987500106,0.24223465903408387,0.30488336937027255,0.6845119840246306,1.0,0.6699386436786724,0.8047285339925637,0.5983562819669791,0.36712830601674556,0.6095147626434897,0.6286838635522859,-0.45265198318112915,0.07562017525514646
