factor,factor_name,mean_ic,ic_ir,positive_ratio,observations
reversal_20,20日反转,0.06037823944202791,0.4331581192520265,0.6798780487804879,328
neg_atr_14_pct,低ATR波动,0.05383788526663526,0.28034182309982847,0.6128048780487805,328
neg_volatility_20,低波动,0.052524084586753075,0.27934656029921695,0.6280487804878049,328
reversal_5,短期反转,0.04508684197113549,0.3644830729084249,0.6371951219512195,328
neg_turnover_20d_avg,低换手,0.044204957355178626,0.24629627486544656,0.5914634146341463,328
neg_log_total_mv,小市值暴露,0.03796579529516502,0.2513545055497445,0.6158536585365854,328
neg_volatility_60,60日低波动,0.03487621861624518,0.1709282008349365,0.6097560975609756,328
bp,估值-BP,0.027466060841408423,0.1660460063059277,0.5579268292682927,328
reversal_1,1日反转,0.020523183819267016,0.15146940652885119,0.5152439024390244,328
growth_sales_yoy,收入成长,0.003997132379151915,0.22990701306468753,0.5884146341463414,328
dividend_yield,股息率,0.0034869628726466647,0.02683277854643532,0.5121951219512195,328
ep_ttm,估值-EP(TTM),0.0034280349022672474,0.02739732721242141,0.5213414634146342,328
cashflow_ocfps,经营现金流,0.0029785403522167267,0.21415016944692633,0.5487804878048781,328
low_leverage,低杠杆,0.000867721742659612,0.061892968464341884,0.5640243902439024,328
quality_roa,ROA质量,0.00025136608946258284,0.01775679501440835,0.524390243902439,328
quality_roe,ROE质量,-0.000662729570570394,-0.041376908170479836,0.4695121951219512,328
growth_profit_yoy,利润成长,-0.0018379117673642266,-0.10150375928428215,0.4451219512195122,328
breakout_20,20日突破强度,-0.015014232790421193,-0.10515920774582889,0.49390243902439024,328
momentum_120_20,中长期动量剔除近端,-0.015239587658371422,-0.10770833781380582,0.4420731707317073,328
range_position_20,20日价格区间位置,-0.030776568039508127,-0.2785288391223284,0.3780487804878049,328
rsi_14,RSI14,-0.038026180614909574,-0.336137356626843,0.3567073170731707,328
boll_pos_20,布林带位置,-0.04041295749168535,-0.3601778582826091,0.3475609756097561,328
momentum_120,120日动量,-0.040512223426642964,-0.290433369891967,0.3932926829268293,328
neg_amihud_20,低冲击成本,-0.0415579238619319,-0.3342644367601883,0.3628048780487805,328
turnover_5_20,短期换手放大,-0.04462540002296413,-0.4757153409577996,0.28353658536585363,328
amount_5_20,短期成交额放大,-0.04661465580605772,-0.4699093080878412,0.2804878048780488,328
ma20_ma60,均线斜率20/60,-0.04762135057043638,-0.31963586947770173,0.40853658536585363,328
ma5_ma20,均线斜率5/20,-0.05129892486712197,-0.40253787065126934,0.3048780487804878,328
momentum_60,中期动量,-0.058341671930029176,-0.47351975751475506,0.3780487804878049,328
relative_ret_60,相对沪深300强度60日,-0.058341671930029176,-0.47351975751475506,0.3780487804878049,328
bias_20,20日乖离率,-0.059214805899184535,-0.4612232724045788,0.2926829268292683,328
momentum_20,20日动量,-0.06037823944202791,-0.4331581192520265,0.3201219512195122,328
relative_ret_20,相对沪深300强度20日,-0.06037823944202791,-0.4331581192520265,0.3201219512195122,328
bias_60,60日乖离率,-0.07108877602465831,-0.5117716714914821,0.3353658536585366,328
