factor,factor_name,mean_ic,ic_ir,positive_ratio,observations
neg_atr_14_pct,低ATR波动,0.07767829969171477,0.36298374602066585,0.6600877192982456,456
neg_volatility_20,低波动,0.06822108469398963,0.32733365922104396,0.6371681415929203,452
bp,估值-BP,0.06662365526001025,0.4328235108890538,0.670995670995671,462
neg_volatility_60,60日低波动,0.06548012954190266,0.2844029198552607,0.6221719457013575,442
reversal_20,20日反转,0.05798318589910104,0.33808462970808567,0.6583710407239819,442
neg_turnover_20d_avg,低换手,0.0540861882801498,0.2750581262265764,0.6048565121412803,453
neg_log_total_mv,小市值暴露,0.04877383236898396,0.22334106732784578,0.6341991341991342,462
reversal_5,短期反转,0.03876430144386122,0.23854632539277776,0.6017505470459519,457
dividend_yield,股息率,0.03266880893709833,0.2896301337197961,0.6082251082251082,462
ep_ttm,估值-EP(TTM),0.030035849949472077,0.2216286818449276,0.5714285714285714,462
reversal_1,1日反转,0.010239170213048121,0.06443587192478523,0.5379609544468547,461
low_leverage,低杠杆,0.0031005410606178845,0.2099559408957136,0.5844155844155844,462
quality_roe,ROE质量,0.0014388035132997998,0.09286979280716602,0.5432900432900433,462
quality_roa,ROA质量,0.0008786681257829769,0.055252062747784374,0.5432900432900433,462
cashflow_ocfps,经营现金流,0.0004719600024120823,0.026101347822339006,0.538961038961039,462
growth_sales_yoy,收入成长,-0.0003160885523780451,-0.01788365797160967,0.487012987012987,462
growth_profit_yoy,利润成长,-0.0004426447908443563,-0.019302589097329736,0.487012987012987,462
momentum_120_20,中长期动量剔除近端,-0.013094470598647082,-0.08211763265778924,0.4649122807017544,342
breakout_20,20日突破强度,-0.01880796773179547,-0.10170141499573293,0.4613686534216336,453
ma20_ma60,均线斜率20/60,-0.031958496739479474,-0.18644574450865356,0.45265588914549654,433
turnover_5_20,短期换手放大,-0.03795453846467684,-0.37751662793410884,0.37748344370860926,453
amount_5_20,短期成交额放大,-0.043020561770960364,-0.4128896830058799,0.36644591611479027,453
range_position_20,20日价格区间位置,-0.046897269760039495,-0.3106470356122744,0.3620309050772627,453
rsi_14,RSI14,-0.05047248844679844,-0.3283896810839846,0.35604395604395606,455
momentum_120,120日动量,-0.050561360104842155,-0.28216042627577764,0.3888888888888889,342
ma5_ma20,均线斜率5/20,-0.05064768677304102,-0.2946483311216547,0.3818984547461369,453
neg_amihud_20,低冲击成本,-0.05303724802447532,-0.29046365808943964,0.3443708609271523,453
relative_ret_60,相对沪深300强度60日,-0.05328428651180953,-0.2793384280940845,0.3855721393034826,402
momentum_60,中期动量,-0.05328428651180953,-0.2793384280940845,0.3855721393034826,402
boll_pos_20,布林带位置,-0.055670293747377045,-0.36348073947717274,0.34216335540838855,453
bias_60,60日乖离率,-0.05644754150295928,-0.30797183856436255,0.38799076212471134,433
bias_20,20日乖离率,-0.056886479227675285,-0.3349022124278445,0.3443708609271523,453
relative_ret_20,相对沪深300强度20日,-0.05798318589910104,-0.33808462970808567,0.3416289592760181,442
momentum_20,20日动量,-0.05798318589910104,-0.33808462970808567,0.3416289592760181,442
