factor,factor_name,weight,mean_ic,positive_ratio
amount_5_20,短期成交额放大,0.17379666006825314,-0.0375805705105757,0.3487858719646799
turnover_5_20,短期换手放大,0.16122288600880735,-0.029947083977212834,0.3730684326710817
neg_log_total_mv,小市值暴露,0.06259672444983337,0.08653400278055703,0.7424242424242424
ma20_ma60,均线斜率20/60,0.05660214357171314,-0.04713786380168823,0.42494226327944573
neg_turnover_20d_avg,低换手,0.04456163642795427,0.07640830549032154,0.6666666666666666
rsi_14,RSI14,0.03321410993258235,-0.052640776683672674,0.34945054945054943
cashflow_ocfps,经营现金流,0.03128808139691238,0.002067515268526174,0.577922077922078
low_leverage,低杠杆,0.029583913562578792,0.0040959762689045205,0.6385281385281385
neg_amihud_20,低冲击成本,0.02863928934887956,-0.0853429415985447,0.24503311258278146
bp,估值-BP,0.02773913265030996,0.09712206294675985,0.7359307359307359
bias_20,20日乖离率,0.026863588917319752,-0.06687051343923194,0.30242825607064017
breakout_20,20日突破强度,0.026104873432721037,-0.013143058522138162,0.5077262693156733
ma5_ma20,均线斜率5/20,0.023699753042803754,-0.06181489370933121,0.31567328918322296
bias_60,60日乖离率,0.023171498394737408,-0.07278550068415852,0.3163972286374134
momentum_60,中期动量,0.021050125976989277,-0.07893965912174764,0.31094527363184077
relative_ret_60,相对沪深300强度60日,0.021050125976930803,-0.07893965912174764,0.31094527363184077
dividend_yield,股息率,0.02098234222800458,0.048589253992492004,0.670995670995671
boll_pos_20,布林带位置,0.0204820305106297,-0.059260991204805324,0.3333333333333333
momentum_120,120日动量,0.017613092291012822,-0.08019487683067218,0.3391812865497076
quality_roa,ROA质量,0.017043606425392595,0.002024368134860568,0.5800865800865801
momentum_120_20,中长期动量剔除近端,0.01688527737765403,-0.036067148092423035,0.39473684210526316
growth_sales_yoy,收入成长,0.015478104566965717,4.228507935881487e-06,0.5086580086580087
neg_atr_14_pct,低ATR波动,0.013664901856800605,0.10051983844465615,0.7192982456140351
range_position_20,20日价格区间位置,0.011463223538200399,-0.05323477140903729,0.3487858719646799
quality_roe,ROE质量,0.010955987882368349,0.0016468954446773392,0.6147186147186147
ep_ttm,估值-EP(TTM),0.010165284214128165,0.04045278222437035,0.6038961038961039
reversal_5,短期反转,0.009075853042450538,0.04567608210907809,0.6323851203501094
neg_volatility_60,60日低波动,0.007541282790479003,0.08649214918455592,0.6832579185520362
momentum_20,20日动量,0.007219151311121359,-0.0674910964456723,0.3416289592760181
reversal_20,20日反转,0.007219151310900849,0.0674910964456723,0.6583710407239819
relative_ret_20,相对沪深300强度20日,0.00721915131080485,-0.0674910964456723,0.3416289592760181
growth_profit_yoy,利润成长,0.006365263367545641,-0.0006247480822830323,0.474025974025974
reversal_1,1日反转,0.0060233246200022605,0.01075150431839935,0.5357917570498916
neg_volatility_20,低波动,0.003418428196212132,0.09294327582046012,0.7168141592920354
