model_id,model_type,target,target_label,score_col,top_n,validation_window_count,validation_objective_mean,validation_objective_std,validation_excess_annualized_return,validation_max_drawdown,validation_avg_turnover,train_objective,train_annualized_return,train_benchmark_annualized_return,train_excess_annualized_return,train_sharpe,train_max_drawdown,train_avg_turnover
ridge_next_20d_return_top200,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_next_20d_return,200,3,1.4336596614957582,2.0868444568588496,0.4873205856299698,-0.1142698662791769,0.1954722222222222,0.7528870455116399,0.6019859187425667,0.00835119381247118,0.5875066734399794,1.7606039647592848,-0.389548367330386,0.13020562770562769
ridge_next_20d_return_top300,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_next_20d_return,300,3,1.4152162164123714,2.138369090182914,0.4682567248502691,-0.11639857193359542,0.1813888888888889,0.5805526576269856,0.4872556221929931,0.00835119381247118,0.47491668328483594,1.4767058452306383,-0.3919378899296593,0.13966089466089468
ridge_next_20d_return_top100,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_next_20d_return,100,3,1.341492395444445,2.0352278015073493,0.4475817779596037,-0.11083937456034632,0.21733333333333335,1.184469845424358,0.8844076285237923,0.00835119381247118,0.864826896347511,2.380130296261816,-0.3607530541015067,0.12175324675324677
ridge_next_5d_return_top300,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_next_5d_return,300,3,1.3048686457331038,2.052247039324229,0.4204468687384703,-0.12126350305698445,0.25657407407407407,0.49200498726396674,0.427653955293144,0.00835119381247118,0.41440226156115734,1.32892248183089,-0.3780204843337903,0.21085858585858586
ridge_next_5d_return_top200,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_next_5d_return,200,3,1.2903328131346432,2.071738894561914,0.4071952073524492,-0.12105428662269617,0.27325,0.591303142602667,0.4916401868628675,0.00835119381247118,0.47630665140011286,1.5075401488284776,-0.36565430378255226,0.21022727272727273
ridge_next_5d_return_top100,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_next_5d_return,100,3,1.2491330849110858,2.013204233453213,0.38651431718600343,-0.11656706736368028,0.3032222222222222,0.7376008561098352,0.5877709121249777,0.00835119381247118,0.5679236210332188,1.750293311694872,-0.35333285304681106,0.2093073593073593
ridge_next_20d_return_top50,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_next_20d_return,50,3,1.1901672496034188,2.0527268451202514,0.353603428774482,-0.11263920493500168,0.22855555555555554,1.3298711692785263,0.9811652921165748,0.00835119381247118,0.9571987502373516,2.5221947938717437,-0.35054914072978693,0.144025974025974
ridge_next_5d_return_top50,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_next_5d_return,50,3,0.9960233663193515,1.8966689004902828,0.24929715112876186,-0.11735405232941787,0.32188888888888895,0.7410062931334798,0.5863166197320762,0.00835119381247118,0.563126951094765,1.7430249432222231,-0.3280871774362538,0.2408658008658009
ensemble_next_20d_return_top300,多因子IC加权,next_20d_return,未来20日收益,ensemble_next_20d_return,300,3,0.6815561143684095,1.038796661388845,0.17547679240276595,-0.06685798763735051,0.06109259259259259,0.19401549408921792,0.18243931024740734,0.00835119381247118,0.16508279360783984,0.9156410958057026,-0.19464292963406216,0.0568037518037518
ensemble_next_20d_return_top200,多因子IC加权,next_20d_return,未来20日收益,ensemble_next_20d_return,200,3,0.6743463531938677,0.9725310821156266,0.1801727193600493,-0.06335777534500446,0.06236111111111114,0.21878284710620316,0.19367895778409716,0.00835119381247118,0.17546749999068445,1.004098072963194,-0.1706307707547009,0.0581818181818182
ensemble_next_5d_return_top300,多因子IC加权,next_5d_return,未来5日收益,ensemble_next_5d_return,300,3,0.657606277160513,1.0044692666033017,0.16449611163491476,-0.06311499991664811,0.06687037037037037,0.14020226324471502,0.14961868334409512,0.00835119381247118,0.13268808623819228,0.7639875990191556,-0.2062729375815462,0.0712987012987013
ensemble_next_5d_return_top200,多因子IC加权,next_5d_return,未来5日收益,ensemble_next_5d_return,200,3,0.6493403664516753,0.9163551216712318,0.17292415518921808,-0.060827894691092475,0.06861111111111112,0.15191356620913998,0.15450418533479793,0.00835119381247118,0.1367545383269806,0.8157816876390331,-0.19221963135180264,0.07382034632034633
ensemble_next_20d_return_top100,多因子IC加权,next_20d_return,未来20日收益,ensemble_next_20d_return,100,3,0.5782830291352399,0.7790739097575493,0.1546821225773011,-0.06024288279476323,0.0607777777777778,0.21899525339259523,0.18771690464613444,0.00835119381247118,0.16804759381645784,1.0313247485181867,-0.14122385312762442,0.06634199134199135
ensemble_next_20d_return_top50,多因子IC加权,next_20d_return,未来20日收益,ensemble_next_20d_return,50,3,0.576330359712356,0.5773339618339065,0.18354346922287776,-0.05500502473443891,0.06277777777777782,0.25497850741721473,0.21477822214249231,0.00835119381247118,0.19325062660293324,1.2473628822764444,-0.15039185496818697,0.07575757575757577
ensemble_next_5d_return_top100,多因子IC加权,next_5d_return,未来5日收益,ensemble_next_5d_return,100,3,0.5680418584845331,0.7157515930803457,0.1569838037727654,-0.056742829935935414,0.06616666666666669,0.1786629739819562,0.1646008935055725,0.00835119381247118,0.1450838568477968,0.9178361351950536,-0.1558793429298193,0.07844155844155846
ensemble_next_5d_return_top50,多因子IC加权,next_5d_return,未来5日收益,ensemble_next_5d_return,50,3,0.533042318391552,0.5320259360782472,0.1635248991311158,-0.052706707105149575,0.06200000000000002,0.2083498002236058,0.1823279923843153,0.00835119381247118,0.16095109336236124,1.090839437645302,-0.14333102872574666,0.08575757575757577
