feature,factor_group,feature_name,coefficient,target,score_col
turnover_5_20,流动性与拥挤,短期换手放大,0.1301241621686064,next_5d_return,ridge_next_5d_return
ma20_ma60,价格位置,均线斜率20/60,0.06861353724258987,next_5d_return,ridge_next_5d_return
ma5_ma20,价格位置,均线斜率5/20,0.05595360446643961,next_5d_return,ridge_next_5d_return
range_position_20,价格位置,20日价格区间位置,0.04860100157747974,next_5d_return,ridge_next_5d_return
neg_log_total_mv,规模与风险补偿,小市值暴露,0.039883479283590456,next_5d_return,ridge_next_5d_return
growth_sales_yoy,现金流与成长,收入成长,0.0352776642665674,next_5d_return,ridge_next_5d_return
neg_atr_14_pct,波动与防御,低ATR波动,0.02922238114610571,next_5d_return,ridge_next_5d_return
neg_turnover_20d_avg,流动性与拥挤,低换手,0.028919969608121245,next_5d_return,ridge_next_5d_return
low_leverage,资本结构,低杠杆,0.0256051553652112,next_5d_return,ridge_next_5d_return
bp,估值与质量,估值-BP,0.01678824178345164,next_5d_return,ridge_next_5d_return
quality_roe,估值与质量,ROE质量,0.014694696733930661,next_5d_return,ridge_next_5d_return
rsi_14,价格位置,RSI14,0.012023930167937664,next_5d_return,ridge_next_5d_return
cashflow_ocfps,现金流与成长,经营现金流,0.010664032535093994,next_5d_return,ridge_next_5d_return
dividend_yield,估值与质量,股息率,0.009353677023790618,next_5d_return,ridge_next_5d_return
reversal_20,反转与趋势,20日反转,0.009189253974944649,next_5d_return,ridge_next_5d_return
reversal_5,反转与趋势,短期反转,0.006315401627197611,next_5d_return,ridge_next_5d_return
ep_ttm,估值与质量,估值-EP(TTM),0.005082532971798554,next_5d_return,ridge_next_5d_return
neg_volatility_60,波动与防御,60日低波动,-0.003480439269652185,next_5d_return,ridge_next_5d_return
momentum_120_20,反转与趋势,中长期动量剔除近端,-0.005951522317975542,next_5d_return,ridge_next_5d_return
relative_ret_20,相对强弱,相对沪深300强度20日,-0.009189253974543182,next_5d_return,ridge_next_5d_return
momentum_20,反转与趋势,20日动量,-0.00918925397511458,next_5d_return,ridge_next_5d_return
relative_ret_60,相对强弱,相对沪深300强度60日,-0.011421789663757273,next_5d_return,ridge_next_5d_return
momentum_60,反转与趋势,中期动量,-0.011421789663904506,next_5d_return,ridge_next_5d_return
reversal_1,反转与趋势,1日反转,-0.013224869197344606,next_5d_return,ridge_next_5d_return
momentum_120,反转与趋势,120日动量,-0.01460700905522258,next_5d_return,ridge_next_5d_return
neg_amihud_20,流动性与拥挤,低冲击成本,-0.015245317248651274,next_5d_return,ridge_next_5d_return
growth_profit_yoy,现金流与成长,利润成长,-0.017297771545365978,next_5d_return,ridge_next_5d_return
quality_roa,估值与质量,ROA质量,-0.017312181207207778,next_5d_return,ridge_next_5d_return
neg_volatility_20,波动与防御,低波动,-0.019081649158060404,next_5d_return,ridge_next_5d_return
boll_pos_20,价格位置,布林带位置,-0.02155016437923162,next_5d_return,ridge_next_5d_return
bias_20,价格位置,20日乖离率,-0.022937477953894662,next_5d_return,ridge_next_5d_return
breakout_20,价格位置,20日突破强度,-0.02758747714789452,next_5d_return,ridge_next_5d_return
bias_60,价格位置,60日乖离率,-0.06810514271447503,next_5d_return,ridge_next_5d_return
amount_5_20,流动性与拥挤,短期成交额放大,-0.15883827757170388,next_5d_return,ridge_next_5d_return
turnover_5_20,流动性与拥挤,短期换手放大,0.18162404516709713,next_20d_return,ridge_next_20d_return
neg_log_total_mv,规模与风险补偿,小市值暴露,0.07051771984882962,next_20d_return,ridge_next_20d_return
ma20_ma60,价格位置,均线斜率20/60,0.06376458414261203,next_20d_return,ridge_next_20d_return
neg_turnover_20d_avg,流动性与拥挤,低换手,0.05020047009249291,next_20d_return,ridge_next_20d_return
rsi_14,价格位置,RSI14,0.03741702652718126,next_20d_return,ridge_next_20d_return
cashflow_ocfps,现金流与成长,经营现金流,0.035247278159467946,next_20d_return,ridge_next_20d_return
low_leverage,资本结构,低杠杆,0.03332746476710373,next_20d_return,ridge_next_20d_return
bp,估值与质量,估值-BP,0.031249245104697922,next_20d_return,ridge_next_20d_return
ma5_ma20,价格位置,均线斜率5/20,0.026698722021761177,next_20d_return,ridge_next_20d_return
dividend_yield,估值与质量,股息率,0.0236374497868895,next_20d_return,ridge_next_20d_return
boll_pos_20,价格位置,布林带位置,0.023073828577744544,next_20d_return,ridge_next_20d_return
growth_sales_yoy,现金流与成长,收入成长,0.017436705374558686,next_20d_return,ridge_next_20d_return
neg_atr_14_pct,波动与防御,低ATR波动,0.015394059822920683,next_20d_return,ridge_next_20d_return
quality_roe,估值与质量,ROE质量,0.012342359619395067,next_20d_return,ridge_next_20d_return
ep_ttm,估值与质量,估值-EP(TTM),0.01145160023461145,next_20d_return,ridge_next_20d_return
reversal_5,反转与趋势,短期反转,0.010224312340010607,next_20d_return,ridge_next_20d_return
reversal_20,反转与趋势,20日反转,0.008132663396731014,next_20d_return,ridge_next_20d_return
neg_volatility_20,波动与防御,低波动,0.0038509964216581105,next_20d_return,ridge_next_20d_return
reversal_1,反转与趋势,1日反转,-0.006785516683900673,next_20d_return,ridge_next_20d_return
growth_profit_yoy,现金流与成长,利润成长,-0.007170724392716945,next_20d_return,ridge_next_20d_return
relative_ret_20,相对强弱,相对沪深300强度20日,-0.008132663396622867,next_20d_return,ridge_next_20d_return
momentum_20,反转与趋势,20日动量,-0.008132663396979427,next_20d_return,ridge_next_20d_return
neg_volatility_60,波动与防御,60日低波动,-0.0084955574240309,next_20d_return,ridge_next_20d_return
range_position_20,价格位置,20日价格区间位置,-0.012913780922820747,next_20d_return,ridge_next_20d_return
momentum_120_20,反转与趋势,中长期动量剔除近端,-0.019021941965053683,next_20d_return,ridge_next_20d_return
quality_roa,估值与质量,ROA质量,-0.01920030598538366,next_20d_return,ridge_next_20d_return
momentum_120,反转与趋势,120日动量,-0.01984185464599864,next_20d_return,ridge_next_20d_return
relative_ret_60,相对强弱,相对沪深300强度60日,-0.02371381089777979,next_20d_return,ridge_next_20d_return
momentum_60,反转与趋势,中期动量,-0.023713810897845664,next_20d_return,ridge_next_20d_return
