factor,factor_name,strong_sample_median_z,universe_median_z,median_diff_z,ai_commonality
momentum_120,120日动量,0.010815154761075974,-0.2438637912273407,0.2546789348125458,强势样本显著偏高
range_position_20,20日价格区间位置,0.2090151011943817,-0.03120298869907856,0.24021808803081512,强势样本显著偏高
momentum_120_20,中长期动量剔除近端,-0.029606759548187256,-0.23964372277259827,0.210036963224411,强势样本显著偏高
momentum_60,中期动量,-0.012760202400386333,-0.2173953354358673,0.2046351283788681,强势样本显著偏高
relative_ret_60,相对沪深300强度60日,-0.012760202400386333,-0.2173953354358673,0.2046351283788681,强势样本显著偏高
boll_pos_20,布林带位置,0.12398707866668701,-0.07626670598983765,0.20025378465652466,强势样本显著偏高
bias_60,60日乖离率,0.0005765669629909098,-0.19713081419467926,0.1977073848247528,强势样本显著偏高
ma20_ma60,均线斜率20/60,0.003773300675675273,-0.16565752029418945,0.16943082213401794,强势样本显著偏高
rsi_14,RSI14,0.1733819544315338,0.005133797414600849,0.16824816167354584,强势样本显著偏高
momentum_20,20日动量,-0.01721120811998844,-0.16374488174915314,0.14653366804122925,差异不显著
relative_ret_20,相对沪深300强度20日,-0.01721120811998844,-0.16374488174915314,0.14653366804122925,差异不显著
bias_20,20日乖离率,-0.023188572376966476,-0.15901894867420197,0.1358303725719452,差异不显著
ma5_ma20,均线斜率5/20,-0.01025910023599863,-0.14286921918392181,0.13261011242866516,差异不显著
amount_5_20,短期成交额放大,-0.12288667261600494,-0.1918603777885437,0.06897370517253876,差异不显著
turnover_5_20,短期换手放大,-0.1272740662097931,-0.18228274583816528,0.05500867962837219,差异不显著
neg_log_total_mv,小市值暴露,0.17687365412712097,0.1631559133529663,0.013717740774154663,差异不显著
quality_roe,ROE质量,0.0,0.0,0.0,差异不显著
ep_ttm,估值-EP(TTM),0.0,0.0,0.0,差异不显著
growth_profit_yoy,利润成长,0.0,0.0,0.0,差异不显著
quality_roa,ROA质量,0.0,0.0,0.0,差异不显著
low_leverage,低杠杆,0.0,0.0,0.0,差异不显著
cashflow_ocfps,经营现金流,0.0,0.0,0.0,差异不显著
growth_sales_yoy,收入成长,0.0,0.0,0.0,差异不显著
neg_amihud_20,低冲击成本,0.3036107122898102,0.3157200813293457,-0.012109369039535522,差异不显著
breakout_20,20日突破强度,0.21462027728557587,0.234980970621109,-0.020360693335533142,差异不显著
reversal_1,1日反转,0.07567127048969269,0.10247822850942612,-0.02680695801973343,差异不显著
dividend_yield,股息率,-0.059555310755968094,0.0,-0.059555310755968094,差异不显著
reversal_5,短期反转,0.046479713171720505,0.12249548733234406,-0.07601577043533325,差异不显著
reversal_20,20日反转,0.01721120811998844,0.16374488174915314,-0.14653366804122925,差异不显著
neg_turnover_20d_avg,低换手,0.1535712331533432,0.3290673494338989,-0.17549611628055573,强势样本显著偏低
bp,估值-BP,-0.40778645873069763,-0.22902433574199677,-0.17876212298870087,强势样本显著偏低
neg_volatility_60,60日低波动,-0.14967498183250427,0.19025760889053345,-0.3399325907230377,强势样本显著偏低
neg_volatility_20,低波动,-0.09509214013814926,0.2596188187599182,-0.35471096634864807,强势样本显著偏低
neg_atr_14_pct,低ATR波动,-0.1688811182975769,0.22667604684829712,-0.395557165145874,强势样本显著偏低
