factor,factor_name,mean_ic,ic_ir,positive_ratio,observations
reversal_20,20日反转,0.06037833805723027,0.4331587572523288,0.6798780487804879,328
neg_atr_14_pct,低ATR波动,0.054034059717237896,0.2810084635554613,0.6158536585365854,328
neg_volatility_20,20日低波动,0.05252414016588587,0.27934687676198383,0.6280487804878049,328
reversal_5,5日反转,0.04508675515911276,0.364482176137937,0.6371951219512195,328
neg_turnover_20d_avg,20日低换手,0.04420503367853449,0.2462966849332612,0.5914634146341463,328
neg_volatility_60,60日低波动,0.03487619531706531,0.170928074863037,0.6097560975609756,328
reversal_1,1日反转,0.02052286500215901,0.15146778863251728,0.5152439024390244,328
breakout_20,20日突破强度,-0.015014220771588397,-0.10515905177532896,0.49390243902439024,328
momentum_120_20,中长期动量剔除近端,-0.015239511732752856,-0.10770779068059733,0.4420731707317073,328
range_position_20,20日价格区间位置,-0.030776669288642654,-0.2785291536853218,0.3780487804878049,328
rsi_14,RSI14,-0.03802622028529047,-0.3361379869626187,0.3567073170731707,328
bias_5,5日乖离率,-0.0394280892816409,-0.30766417909372584,0.4054878048780488,328
boll_pos_20,布林带位置,-0.04041295840317987,-0.36017790722655096,0.3475609756097561,328
momentum_120,120日动量,-0.04051217916726811,-0.2904331870733331,0.3932926829268293,328
neg_amihud_20,低冲击成本,-0.041557864716360964,-0.334264102755116,0.3628048780487805,328
turnover_5_20,短期换手放大,-0.04462536358709959,-0.47571612344398284,0.28353658536585363,328
amount_5_20,短期成交额放大,-0.04661462080325951,-0.46991006492112547,0.2774390243902439,328
ma20_ma60,均线斜率20/60,-0.0476213544906184,-0.3196359011006595,0.40853658536585363,328
ma5_ma20,均线斜率5/20,-0.05129893954430224,-0.402538176816102,0.3048780487804878,328
momentum_60,60日动量,-0.058341606775190624,-0.4735191823184488,0.3780487804878049,328
relative_ret_60,相对沪深300强度60日,-0.058341606775190624,-0.4735191823184488,0.3780487804878049,328
bias_20,20日乖离率,-0.05921481837346197,-0.4612235085205334,0.2926829268292683,328
momentum_20,20日动量,-0.06037833805723027,-0.4331587572523288,0.3201219512195122,328
relative_ret_20,相对沪深300强度20日,-0.06037833805723027,-0.4331587572523288,0.3201219512195122,328
bias_60,60日乖离率,-0.0710887918598002,-0.5117718512922051,0.3353658536585366,328
