factor,factor_name,mean_ic,ic_ir,positive_ratio,observations
neg_atr_14_pct,低ATR波动,0.07775154418213061,0.36174102341774234,0.6622807017543859,456
neg_volatility_20,20日低波动,0.06822100632969232,0.3273332827228695,0.6371681415929203,452
neg_volatility_60,60日低波动,0.06548013475518649,0.284402946611786,0.6221719457013575,442
reversal_20,20日反转,0.05798317303963693,0.33808458611120357,0.6583710407239819,442
neg_turnover_20d_avg,20日低换手,0.05408620530585217,0.2750581611115343,0.6048565121412803,453
reversal_5,5日反转,0.038764085744995555,0.23854499125497367,0.6017505470459519,457
reversal_1,1日反转,0.010239427832588858,0.06443761417060517,0.5379609544468547,461
momentum_120_20,中长期动量剔除近端,-0.013094452029707224,-0.08211747207047392,0.4649122807017544,342
breakout_20,20日突破强度,-0.018808065284692924,-0.10170201426825469,0.4613686534216336,453
bias_5,5日乖离率,-0.028710228666743613,-0.17694629908449105,0.41956521739130437,460
ma20_ma60,均线斜率20/60,-0.03195844556551595,-0.18644543979529335,0.45265588914549654,433
turnover_5_20,短期换手放大,-0.03795458550728986,-0.37751699059808697,0.37748344370860926,453
amount_5_20,短期成交额放大,-0.043020614579855156,-0.4128899495278013,0.36644591611479027,453
range_position_20,20日价格区间位置,-0.04689763512639705,-0.31064949457296115,0.3620309050772627,453
rsi_14,RSI14,-0.05047303308644792,-0.328395334944291,0.35604395604395606,455
momentum_120,120日动量,-0.05056135319765914,-0.2821602573994838,0.3888888888888889,342
ma5_ma20,均线斜率5/20,-0.05064770505908252,-0.29464836027825053,0.3818984547461369,453
neg_amihud_20,低冲击成本,-0.053037273228074444,-0.2904638671620831,0.3443708609271523,453
relative_ret_60,相对沪深300强度60日,-0.053284307758579307,-0.2793385053127682,0.3855721393034826,402
momentum_60,60日动量,-0.053284307758579307,-0.2793385053127682,0.3855721393034826,402
boll_pos_20,布林带位置,-0.055670317452558925,-0.3634808989475307,0.34216335540838855,453
bias_60,60日乖离率,-0.05644749456151279,-0.30797160390438183,0.38799076212471134,433
bias_20,20日乖离率,-0.05688645498342902,-0.3349020405614533,0.3443708609271523,453
relative_ret_20,相对沪深300强度20日,-0.05798317303963693,-0.33808458611120357,0.3416289592760181,442
momentum_20,20日动量,-0.05798317303963693,-0.33808458611120357,0.3416289592760181,442
